"Kod";"Nazwa";"Miejsca pracy";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1400000;"MAZOWIECKIE";"nowo utworzone miejsca pracy";"2016";122,8;"tys. msc.";"";
1400000;"MAZOWIECKIE";"nowo utworzone miejsca pracy";"2017";150,5;"tys. msc.";"";
1400000;"MAZOWIECKIE";"nowo utworzone miejsca pracy";"2018";151,7;"tys. msc.";"";
1400000;"MAZOWIECKIE";"nowo utworzone miejsca pracy";"2019";135,3;"tys. msc.";"";
1400000;"MAZOWIECKIE";"nowo utworzone miejsca pracy";"2020";98,0;"tys. msc.";"";
1400000;"MAZOWIECKIE";"nowo utworzone miejsca pracy";"2021";122,2;"tys. msc.";"";
1400000;"MAZOWIECKIE";"nowo utworzone miejsca pracy";"2022";126,3;"tys. msc.";"";
1400000;"MAZOWIECKIE";"nowo utworzone miejsca pracy";"2023";93,7;"tys. msc.";"";
1400000;"MAZOWIECKIE";"nowo utworzone miejsca pracy";"2024";111,7;"tys. msc.";"";
1400000;"MAZOWIECKIE";"zlikwidowane miejsca pracy";"2015";65,2;"tys. msc.";"";
1400000;"MAZOWIECKIE";"zlikwidowane miejsca pracy";"2016";59,9;"tys. msc.";"";
1400000;"MAZOWIECKIE";"zlikwidowane miejsca pracy";"2017";59,1;"tys. msc.";"";
1400000;"MAZOWIECKIE";"zlikwidowane miejsca pracy";"2018";55,9;"tys. msc.";"";
1400000;"MAZOWIECKIE";"zlikwidowane miejsca pracy";"2019";63,9;"tys. msc.";"";
1400000;"MAZOWIECKIE";"zlikwidowane miejsca pracy";"2020";66,5;"tys. msc.";"";
1400000;"MAZOWIECKIE";"zlikwidowane miejsca pracy";"2021";53,3;"tys. msc.";"";
1400000;"MAZOWIECKIE";"zlikwidowane miejsca pracy";"2022";60,2;"tys. msc.";"";
1400000;"MAZOWIECKIE";"zlikwidowane miejsca pracy";"2023";53,3;"tys. msc.";"";
1400000;"MAZOWIECKIE";"zlikwidowane miejsca pracy";"2024";50,4;"tys. msc.";"";
1600000;"OPOLSKIE";"nowo utworzone miejsca pracy";"2015";10,0;"tys. msc.";"";
1600000;"OPOLSKIE";"nowo utworzone miejsca pracy";"2016";15,2;"tys. msc.";"";
1600000;"OPOLSKIE";"nowo utworzone miejsca pracy";"2017";13,2;"tys. msc.";"";
1600000;"OPOLSKIE";"nowo utworzone miejsca pracy";"2018";14,0;"tys. msc.";"";
1600000;"OPOLSKIE";"nowo utworzone miejsca pracy";"2019";11,9;"tys. msc.";"";
1600000;"OPOLSKIE";"nowo utworzone miejsca pracy";"2020";10,4;"tys. msc.";"";
1600000;"OPOLSKIE";"nowo utworzone miejsca pracy";"2021";11,0;"tys. msc.";"";
1600000;"OPOLSKIE";"nowo utworzone miejsca pracy";"2022";8,2;"tys. msc.";"";
1600000;"OPOLSKIE";"nowo utworzone miejsca pracy";"2023";7,8;"tys. msc.";"";
1600000;"OPOLSKIE";"nowo utworzone miejsca pracy";"2024";7,1;"tys. msc.";"";
1600000;"OPOLSKIE";"zlikwidowane miejsca pracy";"2015";6,7;"tys. msc.";"";
1600000;"OPOLSKIE";"zlikwidowane miejsca pracy";"2016";4,1;"tys. msc.";"";
1600000;"OPOLSKIE";"zlikwidowane miejsca pracy";"2017";2,9;"tys. msc.";"";
1600000;"OPOLSKIE";"zlikwidowane miejsca pracy";"2018";5,3;"tys. msc.";"";
1600000;"OPOLSKIE";"zlikwidowane miejsca pracy";"2019";8,3;"tys. msc.";"";
1600000;"OPOLSKIE";"zlikwidowane miejsca pracy";"2020";11,4;"tys. msc.";"";
1600000;"OPOLSKIE";"zlikwidowane miejsca pracy";"2021";4,5;"tys. msc.";"";
1600000;"OPOLSKIE";"zlikwidowane miejsca pracy";"2022";3,4;"tys. msc.";"";
1600000;"OPOLSKIE";"zlikwidowane miejsca pracy";"2023";4,1;"tys. msc.";"";
1600000;"OPOLSKIE";"zlikwidowane miejsca pracy";"2024";5,0;"tys. msc.";"";
1800000;"PODKARPACKIE";"nowo utworzone miejsca pracy";"2015";27,7;"tys. msc.";"";
1800000;"PODKARPACKIE";"nowo utworzone miejsca pracy";"2016";22,0;"tys. msc.";"";
1800000;"PODKARPACKIE";"nowo utworzone miejsca pracy";"2017";30,2;"tys. msc.";"";
1800000;"PODKARPACKIE";"nowo utworzone miejsca pracy";"2018";30,5;"tys. msc.";"";
1800000;"PODKARPACKIE";"nowo utworzone miejsca pracy";"2019";26,9;"tys. msc.";"";
1800000;"PODKARPACKIE";"nowo utworzone miejsca pracy";"2020";21,1;"tys. msc.";"";
1800000;"PODKARPACKIE";"nowo utworzone miejsca pracy";"2021";23,3;"tys. msc.";"";
1800000;"PODKARPACKIE";"nowo utworzone miejsca pracy";"2022";20,4;"tys. msc.";"";
1800000;"PODKARPACKIE";"nowo utworzone miejsca pracy";"2023";19,2;"tys. msc.";"";
1800000;"PODKARPACKIE";"nowo utworzone miejsca pracy";"2024";17,0;"tys. msc.";"";
1800000;"PODKARPACKIE";"zlikwidowane miejsca pracy";"2015";16,3;"tys. msc.";"";
1800000;"PODKARPACKIE";"zlikwidowane miejsca pracy";"2016";12,2;"tys. msc.";"";
1800000;"PODKARPACKIE";"zlikwidowane miejsca pracy";"2017";12,2;"tys. msc.";"";
